Url,Phone,Security,Status,Latency
https://www.facebook.com/agrelha.restaurante.75/,235208867,True,400,0.24
http://www.facebook.com/praiaevidaboa/,966420304,True,400,0.26
http://www.facebook.com/restaurante-dom-pit%c3%a9u-359487764196156,239406068,True,400,0.41
http://www.facebook.com/gelatariacosi,239150023,True,400,0.43
http://www.facebook.com/pages/turbante-tea-bar/181552121884541?ref=hl,239701219,True,400,0.23
http://www.facebook.com/snackcasanova,239704704,True,400,0.3
http://www.facebook.com/churrasqueira-do-calhab%c3%a9-252503138264929,239701663,True,400,0.24
http://m.facebook.com/pages/dona-elvira/611682775520280,239701460,True,400,0.48
http://www.facebook.com/adega-t%c3%adpica-a-pharm%c3%a1cia-236537179856047,239404609,True,400,0.66
http://www.facebook.com/tascaamaria,960210392,True,400,0.29
http://www.facebook.com/tubaraodabebe/,233045745,True,400,0.28
